"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"dada2","dada2","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.12.1",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), methods (>= 3.4.0)","Biostrings (>= 2.42.1), ggplot2 (>= 2.1.0), reshape2 (>=
1.4.1), ShortRead (>= 1.32.0), RcppParallel (>= 4.3.0),
parallel (>= 3.2.0), IRanges (>= 2.6.0), XVector (>= 0.16.0),
BiocGenerics (>= 0.22.0)","Rcpp, RcppParallel","BiocStyle, knitr, rmarkdown",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.6.0"
"dartR","dartR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.11",NA,"R (>= 3.1.1), adegenet (>= 2.0.0)","plyr, tidyr, reshape2, MASS, ggplot2, directlabels, pca3d,
utils, seqinr, pegas, SNPassoc, methods, doParallel, stats,
data.table, parallel, foreach, stringr, ape, vegan, SNPRelate,
StAMPP, dismo, qvalue, sp, rgdal, igraph, rrBLUP, leaflet,
mmod, PopGenReport, gdistance, hierfstat",NA,"knitr, rmarkdown, rgl, plotly",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"data.table","data.table","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.12.2",NA,"R (>= 3.1.0)","methods",NA,"bit64, curl, R.utils, knitr, xts, nanotime, zoo",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"data.tree","data.tree","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7.8",NA,"R (>= 3.0)","R6, stringr, methods, DiagrammeR (>= 1.0.0)",NA,"Formula, graphics, testthat, knitr, rmarkdown, ape, yaml,
networkD3, jsonlite, igraph, treemap, party, partykit,
doParallel, foreach, htmlwidgets","","GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"datapasta","datapasta","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.0.0",NA,"R (>= 3.3.0)","readr (>= 1.0.0), clipr (>= 0.3.0), rstudioapi (>= 0.6)",NA,"tibble (>= 1.2), testthat, knitr, rmarkdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"datasets","datasets","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.6.0","base",NA,NA,NA,NA,NA,"Part of R 3.6.0",NA,NA,NA,NA,NA,"3.6.0"
"DBI","DBI","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.0",NA,"R (>= 3.0.0), methods",NA,NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown,
RSQLite (>= 1.1-2), testthat, xml2",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"dbplyr","dbplyr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.2",NA,"R (>= 3.1)","assertthat (>= 0.2.0), DBI (>= 1.0.0), dplyr (>= 0.8.0), glue
(>= 1.2.0), methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils",NA,"bit64, covr, knitr, Lahman, nycflights13, RMariaDB (>=
1.0.2), rmarkdown, RMySQL (>= 0.10.11), RPostgreSQL (>= 0.4.1),
RSQLite (>= 2.1.0), testthat (>= 2.0.0), withr (>= 2.1.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"DelayedArray","DelayedArray","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.10.0",NA,"R (>= 3.4), methods, stats4, matrixStats, BiocGenerics (>=
0.27.1), S4Vectors (>= 0.21.7), IRanges (>= 2.17.3),
BiocParallel","stats, Matrix","S4Vectors","Matrix, HDF5Array, genefilter, SummarizedExperiment, airway,
pryr, DelayedMatrixStats, knitr, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"DelayedMatrixStats","DelayedMatrixStats","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6.0",NA,"DelayedArray (>= 0.9.8)","methods, matrixStats (>= 0.53.1), Matrix, S4Vectors (>=
0.17.5), IRanges, HDF5Array (>= 1.7.10), BiocParallel",NA,"testthat, knitr, rmarkdown, covr, BiocStyle, microbenchmark,
profmem",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"deldir","deldir","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1-22",NA,"R (>= 0.99)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"dendextend","dendextend","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.12.0",NA,"R (>= 3.0.0)","utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",NA,"knitr, rmarkdown, testthat, seriation, colorspace, ape,
profdpm, microbenchmark, gplots, heatmaply, d3heatmap,
dynamicTreeCut, pvclust, corrplot, DendSer, MASS, cluster, fpc,
circlize (>= 0.2.5), covr","ggdendro, dendroextras, Hmisc, data.table, rpart","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.0"
"DEoptimR","DEoptimR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-8",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"desc","desc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.0",NA,"R (>= 3.1.0)","assertthat, utils, R6, crayon, rprojroot",NA,"covr, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"DESeq2","DESeq2","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.24.0",NA,"R (>= 3.5.0), S4Vectors (>= 0.9.25), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, genefilter,
methods, locfit, geneplotter, ggplot2, Hmisc, Rcpp (>= 0.11.0)","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, vsn, pheatmap, RColorBrewer, IHW,
apeglm, ashr, tximport, tximportData, readr, pbapply, airway,
pasilla (>= 0.2.10)",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"devtools","devtools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.2",NA,"R (>= 3.0.2)","callr, cli, digest, git2r (>= 0.23.0), httr (>= 0.4),
jsonlite, memoise (>= 1.0.0), pkgbuild (>= 1.0.2), pkgload (>=
1.0.1), rcmdcheck (>= 1.3.2), remotes (>= 2.0.2), rstudioapi
(>= 0.6.0.9000), sessioninfo, stats, tools, usethis (>= 1.4.0),
utils, withr",NA,"BiocManager, bitops, covr (>= 3.2.0), crayon, curl (>= 0.9),
evaluate, foghorn (>= 1.1.0), gmailr (> 0.7.0), knitr, lintr
(>= 0.2.1), mockery, pingr, MASS, pkgdown, Rcpp (>= 0.10.0),
rhub (>= 1.0.2), rmarkdown, roxygen2 (>= 6.1.0), rversions,
spelling (>= 1.1), testthat (>= 1.0.2), whisker",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"diagram","diagram","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.6.4",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"DiagrammeR","DiagrammeR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,"R (>= 3.2.0)","dplyr (>= 0.7.4), downloader (>= 0.4), glue (>= 1.2.0),
htmltools (>= 0.3.6), htmlwidgets (>= 1.0), igraph (>= 1.1.2),
influenceR (>= 0.1.0), magrittr (>= 1.5), purrr (>= 0.2.4),
RColorBrewer (>= 1.1-2), readr (>= 1.1.1), rlang (>= 0.2.0),
rstudioapi (>= 0.7), rgexf (>= 0.15.3), scales (>= 0.5.0),
stringr (>= 1.3.0), tibble (>= 1.4.2), tidyr (>= 0.8.0),
viridis (>= 0.5.0), visNetwork (>= 2.0.3)",NA,"covr, DiagrammeRsvg, rsvg, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"dichromat","dichromat","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0-0",NA,"R (>= 2.10), stats",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.6.0"
"digest","digest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.6.20",NA,"R (>= 3.1.0)",NA,NA,"tinytest, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"diptest","diptest","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.75-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"directlabels","directlabels","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2018.05.22",NA,NA,"grid, quadprog",NA,"MASS, inlinedocs, ggplot2 (>= 2.0), rlang, lattice,
alphahull, nlme, ElemStatLearn, lars, latticeExtra, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"dismo","dismo","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-4",NA,"R (>= 3.2.0), methods, raster (>= 2.5-2), sp (>= 1.2-0)",NA,NA,"rJava (>= 0.9-7), rgdal, rgeos, XML, ROCR, deldir, gstat,
randomForest, kernlab, maptools, jsonlite, gbm (>= 2.1.1)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"diveRsity","diveRsity","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.9.90",NA,"R (>= 3.0.0)","ggplot2, shiny, qgraph, Rcpp, methods, stats, grid","Rcpp","xlsx, sendplot, plotrix, parallel, HWxtest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"doParallel","doParallel","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.15",NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","3.6.0"
"dotCall64","dotCall64","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0-0",NA,"R (>= 3.1)",NA,NA,"microbenchmark, OpenMPController, RColorBrewer, roxygen2,
spam, testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"downloader","downloader","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"dplyr","dplyr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8.3",NA,"R (>= 3.2.0)","assertthat (>= 0.2.0), glue (>= 1.3.0), magrittr (>= 1.5),
methods, pkgconfig, R6, Rcpp (>= 1.0.1), rlang (>= 0.4.0),
tibble (>= 2.0.0), tidyselect (>= 0.2.5), utils","BH, plogr (>= 0.2.0), Rcpp (>= 1.0.1)","bit64, callr, covr, crayon (>= 1.3.4), DBI, dbplyr, dtplyr,
ggplot2, hms, knitr, Lahman, lubridate, MASS, mgcv,
microbenchmark, nycflights13, rmarkdown, RMySQL, RPostgreSQL,
RSQLite, testthat, withr, broom, purrr, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"DT","DT","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.7",NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), magrittr,
crosstalk, promises",NA,"jsonlite (>= 0.9.16), knitr (>= 1.8), rmarkdown, shiny (>=
1.1.0)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"e1071","e1071","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7-2",NA,NA,"graphics, grDevices, class, stats, methods, utils",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"elevatr","elevatr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.0",NA,"R (>= 3.0.0)","sp, raster, httr, jsonlite, progress, sf",NA,"testthat, knitr, rmarkdown, formatR, rgdal",NA,"CC0",NA,NA,NA,NA,"no","3.6.0"
"ellipse","ellipse","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.1",NA,"R (>= 2.0.0),graphics,stats",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"ellipsis","ellipsis","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.2.0.1",NA,"R (>= 3.1)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"emmeans","emmeans","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.5.1",NA,"R (>= 3.2)","estimability (>= 1.3), graphics, methods, numDeriv, stats,
utils, plyr, mvtnorm, xtable (>= 1.8-2)",NA,"bayesplot, biglm, brms, car, coda (>= 0.17), ggplot2,
lattice, mediation, mgcv, multcomp, multcompView, nlme, ordinal
(>= 2014.11-12), pbkrtest (>= 0.4-1), lme4, lmerTest (>=
2.0.32), MASS, MuMIn, rsm, knitr, rmarkdown, scales, testthat","CARBayes, coxme, gee, geepack, MCMCglmm, MCMCpack, mice,
nnet, pscl, rstanarm, sommer, survival","GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.0"
"energy","energy","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7-5",NA,NA,"Rcpp (>= 0.12.6), stats, boot","Rcpp","MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"equatiomatic","equatiomatic","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.0.0.9000",NA,"R (>= 3.3.0)","broom, stats",NA,"texPreview, testthat (>= 2.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.6.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.14",NA,"R (>= 3.0.2)","methods",NA,"testthat, lattice, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.6.0"
"expm","expm","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.999-4",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"factoextra","factoextra","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.5",NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"FactoMineR","FactoMineR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.42",NA,"R (>= 3.0.0)","car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,utils",NA,"missMDA,knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.0",NA,"R (>= 3.1.0)",NA,NA,"unitizer, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"farver","farver","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.0",NA,NA,"Rcpp (>= 0.12.15)","Rcpp","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"fastmatch","fastmatch","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1-0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.6.0"
"fastqcr","fastqcr","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.2",NA,"R (>= 3.1.2)","dplyr, grid, gridExtra, ggplot2, magrittr, readr (>= 1.3.0),
rmarkdown(>= 1.4), rvest, tibble, tidyr, scales, stats, utils,
xml2",NA,"knitr",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"fdrtool","fdrtool","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.15",NA,"R (>= 3.0.2)","graphics, grDevices, stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.6.0"
"fields","fields","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","9.8-3",NA,"R (>= 3.0), methods, spam, maps",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"flashClust","flashClust","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.0"
"flexmix","flexmix","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.3-15",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"flextable","flextable","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.5.5",NA,NA,"stats, utils, grDevices, graphics, officer (>= 0.2.0),
rmarkdown, knitr, htmltools, xml2, data.table, gdtools (>=
0.1.6), rlang, base64enc",NA,"testthat, xtable, magrittr, webshot, magick, ggplot2",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"FNN","FNN","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.1.3",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.4.0",NA,"R (>= 3.1)","ellipsis, magrittr, rlang, tibble",NA,"covr, ggplot2, testthat, readr, knitr, rmarkdown, dplyr",NA,"GPL-3",NA,NA,NA,NA,"no","3.6.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.7",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest","compiler, doMC, RUnit, doParallel","Apache License (== 2.0)",NA,NA,NA,NA,"no","3.6.0"
"forecast","forecast","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","8.7",NA,"R (>= 3.0.2),","colorspace, fracdiff, ggplot2 (>= 2.2.1), graphics, lmtest,
magrittr, nnet, parallel, Rcpp (>= 0.11.0), stats, timeDate,
tseries, urca, zoo","Rcpp (>= 0.11.0), RcppArmadillo (>= 0.2.35)","expsmooth, uroot, knitr, rmarkdown, rticles, testthat,
methods",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.8-71","recommended","R (>= 3.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"formatR","formatR","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.7",NA,"R (>= 3.0.2)",NA,NA,"codetools, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2-3",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.6.0"
"fpc","fpc","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.2-3",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, EMMIXskew, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"fracdiff","fracdiff","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4-2",NA,NA,NA,NA,"longmemo, urca",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.6.0"
"fs","fs","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.1",NA,"R (>= 3.1)","methods, Rcpp","Rcpp","testthat, covr, pillar (>= 1.0.0), crayon, rmarkdown, knitr,
withr, spelling",NA,"GPL-3",NA,NA,NA,NA,"yes","3.6.0"
"fst","fst","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.9.0",NA,"R (>= 3.0.0)","Rcpp","Rcpp","testthat, bit64, data.table, lintr, nanotime, crayon",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"futile.logger","futile.logger","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","3.6.0"
"futile.options","futile.options","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","3.6.0"
"future","future","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.14.0",NA,NA,"digest, globals (>= 0.12.4), listenv (>= 0.7.0), parallel,
utils",NA,"R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","3.6.0"
"GA","GA","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","3.2",NA,"R (>= 3.4), methods, foreach, iterators","stats, graphics, grDevices, utils, cli, crayon, Rcpp","Rcpp, RcppArmadillo","parallel, doParallel, doRNG (>= 1.6), knitr (>= 1.8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"gap","gap","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.1",NA,"R (>= 2.10)",NA,NA,"BradleyTerry2, MASS, Matrix, MCMCglmm, R2jags, bdsmatrix,
calibrate, circlize, coda, coxme, dplyr, foreign, forestplot,
gap.datasets, grid, haplo.stats, kinship2, lattice, magic,
meta, mets, nlme, pedigree, pedigreemm, plotrix, qqman,
regress, reshape, rmeta, rms, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.6.0"
"gdalUtils","gdalUtils","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.0.1.14",NA,"R (>= 2.14.0)","sp, foreach, R.utils, raster, rgdal",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"gdata","gdata","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","2.18.0",NA,"R (>= 2.3.0)","gtools, stats, methods, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"gdistance","gdistance","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2-2",NA,"R (>= 3.2.0), raster (>= 1.9-19), methods, igraph (>= 0.7.0),
Matrix","sp, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.6.0"
"gdsfmt","gdsfmt","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.20.0",NA,"R (>= 2.15.0), methods",NA,NA,"parallel, digest, crayon, RUnit, knitr, BiocGenerics",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.6.0"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.1.9",NA,NA,"Rcpp (>= 0.12.12), withr","Rcpp","htmltools, testthat, fontquiver (>= 0.2.0), curl",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.6.0"
"genefilter","genefilter","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.66.0",NA,NA,"S4Vectors (>= 0.9.42), AnnotationDbi, annotate, Biobase,
graphics, methods, stats, survival",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, DESeq, pasilla,
RColorBrewer, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
"geneplotter","geneplotter","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.62.0",NA,"R (>= 2.10), methods, Biobase, BiocGenerics, lattice, annotate","AnnotationDbi, graphics, grDevices, grid, RColorBrewer, stats,
utils",NA,"Rgraphviz, fibroEset, hgu95av2.db, hu6800.db, hgu133a.db",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"genepopedit","genepopedit","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.0.0.6",NA,"R (>= 3.0.1)","data.table, dplyr, magrittr, hierfstat, reshape2, stringr,
stringi, R.utils, plyr, tibble, diveRsity, tidyr",NA,"adegenet, ade4, knitr, rmarkdown",NA,"GPL (>=2)",NA,NA,NA,NA,"no","3.6.0"
"generics","generics","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","0.0.2",NA,"R (>= 3.1)","methods",NA,"covr, pkgload, testthat, tibble",NA,"GPL-2",NA,NA,NA,NA,"no","3.6.0"
"genetics","genetics","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.3.8.1.2",NA,"combinat, gdata, gtools, MASS, mvtnorm",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.6.0"
"GenomeInfoDb","GenomeInfoDb","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.20.0",NA,"R (>= 3.1), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.25), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, BSgenome,
GenomicFeatures, BSgenome.Scerevisiae.UCSC.sacCer2,
BSgenome.Celegans.UCSC.ce2, BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"GenomeInfoDbData","GenomeInfoDbData","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.2.1",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.6.0"
"GenomicAlignments","GenomicAlignments","/Library/Frameworks/R.framework/Versions/3.6/Resources/library","1.20.1",NA,"R (>= 2.10), methods, BiocGenerics (>= 0.15.3), S4Vectors (>=
0.19.11), IRanges (>= 2.15.12), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.33.4), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.47.6), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.6.0"
